,SEM_TT,fami_estratovivienda,estu_genero,punt_c_naturales,punt_lectura_critica,punt_matematicas,punt_sociales_ciudadanas,punt_ingles,estu_cod_reside_mcpio,cole_cod_mcpio_ubicacion,estu_cod_mcpio_presentacion,PUNT_TOTAL
85,20171,Estrato 3,F,58.56210790464241,59.44730238393977,56.658720200752825,57.56085319949812,61.38080301129234,65465.571518193225,65840.5495608532,65466.8243412798,293.6097867001255
86,20171,Estrato 3,M,59.856957928802586,59.02265372168285,59.2168284789644,58.21488673139159,59.82330097087379,63808.390291262134,64135.139805825245,63765.796116504855,296.1346278317152
87,20171,Estrato 4,F,62.84409340659341,63.08722527472528,61.932005494505496,62.38255494505494,71.4532967032967,46931.243131868134,47723.6146978022,46809.17445054945,321.6991758241758
88,20171,Estrato 4,M,64.1814946619217,62.57081850533808,64.38007117437722,62.75516014234876,70.19003558718862,47215.878291814945,47803.64199288256,47091.13665480427,324.0775800711744
89,20171,Estrato 5,F,65.07174556213018,65.07840236686391,64.7921597633136,64.73816568047337,77.51405325443787,40152.789201183434,40816.833579881655,40146.28180473373,337.1945266272189
90,20171,Estrato 5,M,66.78246205733558,64.8752107925801,67.25463743676222,65.79932546374367,75.48566610455312,40065.2892074199,40881.01517706577,40016.156829679596,340.1973018549747
91,20171,Estrato 6,F,66.38876889848812,66.16918646508279,66.91936645068394,66.1418286537077,82.98416126709863,26896.76097912167,27483.49820014399,26724.365010799134,348.6033117350612
92,20171,Estrato 6,M,68.17261410788382,65.77676348547718,69.00331950207469,67.68215767634855,81.00248962655601,26990.222406639004,27572.2755186722,26815.200829875517,351.63734439834025
93,20171,Sin Estrato,F,59.0,58.45945945945946,58.891891891891895,57.78378378378378,69.5945945945946,46677.45945945946,46295.78378378379,45482.91891891892,303.72972972972974
94,20171,Sin Estrato,M,60.875,59.575,62.15,60.025,67.45,42033.05,42737.875,42028.375,310.075
95,20172,,F,43.91009746071737,48.55068620301001,42.27209441092621,44.588211894185505,43.9752701717165,,34692.56162567128,34753.62467678844,223.2963601405556
96,20172,,M,45.92532280615182,49.363434492968175,46.122296241467225,45.86273542232092,44.96496422403158,,34327.26868985936,34370.87597664282,232.2387531869397
97,20172,Estrato 1,,52.5,55.5,51.5,50.25,41.5,,66536.0,66660.25,251.25
98,20172,Estrato 1,F,48.89237842892768,51.21512624688279,46.330911003740646,47.83414510598504,46.18272677680798,,37050.48393664277,37024.42947319202,240.45528756234415
99,20172,Estrato 1,M,50.75980785736039,51.33886597081868,49.96449237243556,48.75301088069991,46.559137849885104,,37210.45190896758,37149.553642127416,247.37531493119965
100,20172,Estrato 2,,41.0,32.0,31.0,38.0,35.0,8.98846567431158e+307,8141.0,8638.0,177.0
101,20172,Estrato 2,F,51.24698658624326,53.88365216877088,49.44719750056671,50.549569793915026,49.601785872682655,,31436.620699171126,31379.22582616323,254.72919192217853
102,20172,Estrato 2,M,52.95649733049197,53.9552828761944,52.81590705987489,51.43546206548888,50.01687633188973,,31554.482573726542,31501.166827066292,261.1800256639399
103,20172,Estrato 3,F,53.155317592783604,56.028280479342875,51.87804512124224,52.90640061511918,53.662640886671795,,27234.85925398046,27094.847983046715,267.6306846951597
104,20172,Estrato 3,M,54.475304195463835,55.81639248515526,54.70902365423927,53.49516207534313,53.82180473084785,,27470.358259515233,27294.56665044291,272.31768714104936
105,20172,Estrato 4,F,54.59994876611733,57.34762189394586,53.940995645119976,54.6960976859363,58.36888395525574,,29164.790880368884,28954.883357527113,278.9535479463752
106,20172,Estrato 4,M,55.76047519666078,57.19858725317065,56.27733183496549,55.13573607320597,57.88007705891796,,29575.146010595603,29287.282790174988,282.25220741692084
107,20172,Estrato 5,F,53.335769980506825,56.39961013645224,52.848684210526315,53.598684210526315,57.86013645224172,28629.61476608187,28790.198099415204,28598.033382066278,274.0428849902534
108,20172,Estrato 5,M,54.24232245681382,56.19097888675624,55.26439539347409,54.20345489443378,57.50191938579655,2.1565416685008587e+304,28952.171305182343,28850.513915547024,277.4030710172745
109,20172,Estrato 6,F,49.537974683544306,52.94741966893866,48.734177215189874,49.77117818889971,53.68013631937683,,31494.068159688413,31482.198149951313,254.67088607594937
110,20172,Estrato 6,M,51.77847794474067,53.84730974309258,52.83713039263209,51.795443528841496,55.46825012118274,4.356987723854377e+304,29970.25545322346,29816.828405235094,265.7266117304896
111,20172,Sin Estrato,F,44.2108319656609,46.42570382527459,40.64423683878298,42.71556621638682,42.69448301982073,,38241.187728822115,38339.80734755713,216.690821865926
112,20172,Sin Estrato,M,45.05283505154639,46.18894974226804,43.13192654639175,42.792686855670105,43.01336984536083,,37875.96005154639,37804.53495489691,220.1797680412371
113,20181,,F,56.55263157894737,62.28947368421053,58.53508771929825,58.583333333333336,65.75877192982456,55439.162280701756,55856.19736842105,55503.35526315789,301.719298245614
114,20181,,M,57.686440677966104,62.08474576271186,61.19915254237288,58.8728813559322,65.96186440677967,48133.338983050846,48910.49152542373,47996.004237288136,305.8050847457627
115,20181,Estrato 1,F,54.51587301587302,58.26984126984127,54.182539682539684,53.357142857142854,56.785714285714285,63737.02380952381,63987.769841269845,64071.03968253968,277.1111111111111
116,20181,Estrato 1,M,57.11214953271028,58.654205607476634,57.58878504672897,55.44859813084112,56.66355140186916,63133.46728971963,63147.6168224299,62999.67289719626,285.4672897196262
117,20181,Estrato 2,F,57.095419847328245,59.969465648854964,56.463740458015266,56.221374045801525,58.6793893129771,66033.09732824427,66108.71374045801,65982.12786259541,288.4293893129771
118,20181,Estrato 2,M,58.81884057971015,60.02355072463768,59.367753623188406,57.33876811594203,59.38949275362319,64874.03079710145,65009.034420289856,64824.4981884058,294.93840579710144
119,20181,Estrato 3,F,57.97617426820967,61.046970728386654,57.575221238938056,57.3784887678693,61.96528250510551,65234.40027229408,65472.841388699795,65123.61606535058,295.9421375085092
120,20181,Estrato 3,M,59.566130160951715,61.09587123862841,60.302309307207835,57.84044786564031,61.92652204338698,63744.0566829951,64011.426172148356,63581.94121763471,300.73128061581525
121,20181,Estrato 4,F,62.839650145772595,65.00145772594752,63.26384839650146,63.076530612244895,72.43950437317784,46940.48688046647,47738.336734693876,46937.52551020408,326.6209912536443
122,20181,Estrato 4,M,64.34521158129176,64.84484038604306,65.7253155159614,63.066072754268745,70.68448403860431,47536.52858203415,48262.31774313289,47591.94951744618,328.6659242761693
123,20181,Estrato 5,F,65.62329803328291,66.88804841149773,66.62708018154312,65.54387291981845,77.05446293494705,40782.93267776097,41438.93116490167,40825.52496217852,341.7367624810893
124,20181,Estrato 5,M,66.36805555555556,66.40277777777777,67.93055555555556,65.5949074074074,75.06867283950618,40895.19984567901,41695.57175925926,40891.22530864197,341.3649691358025
125,20181,Estrato 6,F,66.63608087091757,67.51244167962675,68.22861586314153,66.08709175738724,81.14618973561431,26770.77293934681,27301.1866251944,26714.89968895801,349.6104199066874
126,20181,Estrato 6,M,67.87048458149779,67.73039647577093,70.32422907488987,67.28810572687225,80.26872246696036,27446.73127753304,28219.23436123348,27230.992070484583,353.48193832599117
127,20181,Sin Estrato,F,63.45,63.525,63.925,62.975,75.075,36999.75,37451.0,36607.75,328.95
128,20181,Sin Estrato,M,62.87931034482759,65.48275862068965,63.775862068965516,63.01724137931034,72.56896551724138,39364.3275862069,39893.96551724138,39144.84482758621,327.7241379310345
129,20182,,F,42.940772774278464,48.26299708564445,43.16348594528532,42.72769577888502,,,35169.132744194794,35086.09471655542,
130,20182,,M,45.17730732899928,49.22742679335445,46.41384675223648,44.595932655442574,,,34346.013668944826,34373.57776296049,
131,20182,Estrato 1,F,47.0244978298173,50.378843242152016,46.906833552033916,45.37428081154739,,36939.91817906531,36920.7958110427,36860.4222973655,
132,20182,Estrato 1,M,49.021899665362945,50.91187890939384,50.05163576804146,46.904141310026404,1.2691450057624754e+303,37150.64538356184,37125.96255453737,37096.08878471683,1.2691450057624754e+303
133,20182,Estrato 2,F,49.6091573190691,53.26577781326095,50.00048900243503,48.462765957446805,50.67513272923237,31353.18582092531,31374.03767314678,31291.006965789788,252.01332282144426
134,20182,Estrato 2,M,51.193269176015036,53.43974716701782,52.56176755310062,49.5869597403337,,31646.29712430955,31667.313114287343,31571.140607026933,
